Season 2
Final Standings:
1: Rafiq ad-Din(Alfa Romeo) - 322, W2, P5
2: Yan Rambert(LaRez) (X) - 319, W3, P8
3: Nero Carlevaro(Ferrari) (X) - 307, W3, P6
4: Carlos Loyola(Lamborghini) - 229, W0, P1
5: Franklin Laverne(Aston Martin) (XX) - 225, W2, P3
6: Roland Garnier(Alpine) (X) - 220, W0, P3
7: Rian MacQueen(Alfa Romeo) (XX) - 209, W0, P3
8: Bill Bourne(Dodge) (X) - 187, W0, P1
9: Oskar Shaw(McLaren) - 162, W0, P0
10: Zoilos O'Hannagain(McLaren) - 133, W0, P0
11: Timucin Radic(Pagani) - 103, W0, P0
12: Michael Zabala(LaRez) (X) - 98, W0, P0
13: Tzion Grimaldi(Red Bull) - 84, W0, P0
14: Zorro Petrauskas(Dodge) - 67, W0, P0
15: Atlas Crocetti(Ford/Mustang) (X) - 48, W0, P0
16: Aldana Bosque(AlphaTauri) (XXXXXX) - 47, W0, P0
17: Mateo Colombo(Ford/Mustang) (XX) - 45, W0, P0
18: Wilton Willis(Aston Martin) (X) - 37, W0, P0
19: Nazim Machaah(Mercedes) (XXXXX) - 36, W0, P0
20: Matthias Van Antwerp(Williams) (XX) - 25, W0, P0
21: Hidemi Hirano(Japan) - 25, W0, P0
22: Chau Nguyen(AlphaTauri) (XXXX) - 22, W0, P0
23: Dario Sartini(Ferrari) (XX) - 20, W0, P0
24: Jasper Karamazov(Pagani) - 18, W0, P0
25: Ray Barclay(Invicta) (XXXXX) - 15, W0, P0
26: Simon Riano(Lamborghini) (X) - 11, W0, P0
27: Saburo Saitou(Japan) - 11, W0, P0
28: Anzor Zbikowski(Alpine) - 11, W0, P0
29: Cibran Martin(Mercedes) (XX) - 10, W0, P0
30: Mykolas Kovacevic(Red Bull) (XX) - 8, W0, P0
31: Anthony Burhan(Invicta) (XXXXXX) - 8, W0, P0
32: Akimitsu Iokua(Williams) (XXX) - 7, W0, P0

Final Team Standings:
1: Alfa Romeo - 531, W2, P8
2: LaRez - 417, W3, P8
3: Ferrari - 327, W3, P6
4: McLaren - 295, W0, P0
5: Aston Martin - 262, W2, P3
6: Dodge - 254, W0, P1
7: Lamborghini - 240, W0, P1
8: Alpine - 231, W0, P3
9: Pagani - 121, W0, P0
10: Ford/Mustang - 93, W0, P0
11: Red Bull - 92, W0, P0
12: AlphaTauri - 69, W0, P0
13: Mercedes - 46, W0, P0
14: Japan - 36, W0, P0
15: Williams - 32, W0, P0
16: Invicta - 23, W0, P0

Season 3
Final Standings:
1: Rian MacQueen(Alfa Romeo) (X) - 333, W2, P8
2: Bill Bourne(Pagani) - 308, W6, P6
3: Nero Carlevaro(Ferrari) (X) - 270, W1, P5
4: Yan Rambert(LaRez) - 261, W0, P3
5: Roland Garnier(Alpine) (XX) - 218, W0, P5
6: Franklin Laverne(Aston Martin) - 211, W0, P0
7: Aldana Bosque(AlphaTauri) - 203, W0, P1
8: Oskar Shaw(McLaren) - 198, W0, P0
9: Rafiq ad-Din(Alfa Romeo) (XX) - 179, W1, P2
10: Zoilos O'Hannagain(McLaren) - 118, W0, P0
11: Timucin Radic(Pagani) - 118, W0, P0
12: Tzion Grimaldi(Ferrari) - 92, W0, P0
13: Nazim Machaah(Mercedes) (XXX) - 74, W0, P0
14: Carlos Loyola(Lamborghini) (XX) - 65, W0, P0
15: Ray Barclay(Williams) (X) - 58, W0, P0
16: Michael Zabala(LaRez) (XXX) - 56, W0, P0
17: Zorro Petrauskas(Dodge) - 51, W0, P0
18: Atlas Crocetti(Ford/Mustang) (XX) - 49, W0, P0
19: Frank Castro*(Mercedes) (XX) - 39, W0, P0
20: Arian MacKenna*(Alpine) - 33, W0, P0
21: Benedetto de Santis(Invicta) (XX) - 26, W0, P0
22: Seth Alberink*(AlphaTauri) (X) - 19, W0, P0
23: Wilton Willis(Aston Martin) (XXX) - 15, W0, P0
24: David Polack(Dodge) - 14, W0, P0
25: Mateo Colombo(Ford/Mustang) (X) - 12, W0, P0
26: Arya Kader*(Williams) (XX) - 11, W0, P0
27: Asher Finch(Red Bull) (X) - 10, W0, P0
28: Chau Nguyen(Japan) - 10, W0, P0
29: Hidemi Hirano(Japan) - 10, W0, P0
30: Mykolas Kovacevic(Red Bull) (X) - 9, W0, P0
31: Rene Guzman*(Lamborghini) (X) - 9, W0, P0
32: Neil Terzi(Invicta) (XX) - 8, W0, P0

Final Team Standings:
1: Alfa Romeo - 512, W3, P10
2: Pagani - 426, W6, P6
3: Ferrari - 362, W1, P5
4: LaRez - 317, W0, P3
5: McLaren - 316, W0, P0
6: Alpine - 251, W0, P5
7: Aston Martin - 226, W0, P0
8: AlphaTauri - 222, W0, P1
9: Mercedes - 113, W0, P0
10: Lamborghini - 74, W0, P0
11: Williams - 69, W0, P0
12: Dodge - 65, W0, P0
13: Ford/Mustang - 61, W0, P0
14: Invicta - 34, W0, P0
15: Japan - 20, W0, P0
16: Red Bull - 19, W0, P0

Season 4
Final Standings:
1: Zoilos O'Hannagain(Ford/Mustang) (X) - 351, W6, P8
2: Nero Carlevaro(Ferrari) (X) - 278, W2, P5
3: Timucin Radic(Pagani) (X) - 268, W1, P6
4: Rafiq ad-Din(Alfa Romeo) - 232, W1, P3
5: Rian MacQueen(Alfa Romeo) (X) - 231, W0, P2
6: Oskar Shaw(McLaren) - 220, W0, P1
7: Franklin Laverne(Aston Martin) - 218, W0, P1
8: Yan Rambert(LaRez) (XX) - 200, W0, P4
9: Roland Garnier(Alpine) (X) - 141, W0, P0
10: Aldana Bosque(AlphaTauri) (XX) - 135, W0, P0
11: Michael Zabala(LaRez) - 124, W0, P0
12: Ray Barclay(Williams) - 105, W0, P0
13: Atlas Crocetti(Ford/Mustang) - 73, W0, P0
14: Frank Castro(Mercedes) (X) - 69, W0, P0
15: Tzion Grimaldi(Ferrari) (XXX) - 68, W0, P0
16: Zorro Petrauskas(Dodge) - 63, W0, P0
17: Nazim Machaah(Mercedes) (XXX) - 50, W0, P0
18: Morgan McInnes*(McLaren) (X) - 47, W0, P0
19: Carlos Loyola(Lamborghini) (XX) - 31, W0, P0
20: Ponciano Vargas*(Lamborghini) (X) - 27, W0, P0
21: Arian MacKenna(Alpine) (X) - 25, W0, P0
22: Benedetto de Santis(Invicta) (X) - 19, W0, P0
23: Seth Alberink(AlphaTauri) (XXX) - 17, W0, P0
24: Chau Nguyen(Japan) - 16, W0, P0
25: Dafydd Mag Raith*(Dodge) (X) - 13, W0, P0
26: Juris Yama*(Pagani) - 11, W0, P0
27: Arya Kader(Williams) (X) - 11, W0, P0
28: Wilton Willis(Aston Martin) - 10, W0, P0
29: Kasey Bachmann*(Red Bull) - 10, W0, P0
30: Abe Kimura(Japan) - 10, W0, P0
31: Dario Sartini(Invicta) - 10, W0, P0
32: Asher Finch(Red Bull) - 10, W0, P0

Final Team Standings:
1: Alfa Romeo - 463, W1, P5
2: Ford/Mustang - 424, W6, P8
3: Ferrari - 346, W2, P5
4: LaRez - 324, W0, P4
5: Pagani - 279, W1, P6
